Product ID,Recommended Product ID,Label,Type,Priority,Estimated Price,Source Riding Type,Recommended Riding Type
01-05-yamaha-yfm660r-raptor-starter-ricks-motorsports-electrics,moose-racing-forged-rear-brake-pedal-for-honda-crf-450x-05-17-19-26,Recommended item,Explicit,Primary,131.99,dirt,dirt
01-05-yamaha-yfm660r-raptor-starter-ricks-motorsports-electrics,moose-racing-forged-rear-brake-pedal-for-honda-crf-250r-04-17,Recommended item,Explicit,Secondary,131.99,dirt,dirt
01-05-yamaha-yfm660r-raptor-starter-ricks-motorsports-electrics,moose-racing-forged-rear-brake-pedal-for-honda-crf-450r-02-18-crf450rx-17-18,Recommended item,Explicit,Tertiary,131.99,dirt,dirt
1-10-scale-ktm-450-sx-f-mx-bike-toy,fly-racing-formula-s-carbon-protocol-helmet,Recommended item,Explicit,Primary,1019.95,dirt,dirt
1-10-scale-ktm-450-sx-f-mx-bike-toy,fasthouse-spring-2026-decals-10-pack,Recommended item,Explicit,Secondary,15.95,dirt,dirt
1-10-scale-ktm-450-sx-f-mx-bike-toy,fasthouse-spring-2025-decals-10-pack,Recommended item,Explicit,Tertiary,14.00,dirt,dirt
1-12-scale-honda-cbr1000rr-toy,agv-pista-gp-rr-soleluna-2023-limited-edition,Recommended item,Explicit,Primary,1929.95,unknown,street
1-12-scale-honda-cbr1000rr-toy,fasthouse-spring-2026-decals-10-pack,Recommended item,Explicit,Secondary,15.95,unknown,dirt
1-12-scale-honda-cbr1000rr-toy,fasthouse-spring-2025-decals-10-pack,Recommended item,Explicit,Tertiary,14.00,unknown,dirt
1-12-scale-honda-crf250r-mx-bike-toy,fly-racing-formula-s-carbon-protocol-helmet,Recommended item,Explicit,Primary,1019.95,dirt,dirt
1-12-scale-honda-crf250r-mx-bike-toy,fasthouse-spring-2026-decals-10-pack,Recommended item,Explicit,Secondary,15.95,dirt,dirt
1-12-scale-honda-crf250r-mx-bike-toy,fasthouse-spring-2025-decals-10-pack,Recommended item,Explicit,Tertiary,14.00,dirt,dirt
1-12-scale-kawasaki-kfx450r-atv-toy,fly-racing-formula-s-carbon-protocol-helmet,Recommended item,Explicit,Primary,1019.95,dirt,dirt
1-12-scale-kawasaki-kfx450r-atv-toy,fasthouse-spring-2026-decals-10-pack,Recommended item,Explicit,Secondary,15.95,dirt,dirt
1-12-scale-kawasaki-kfx450r-atv-toy,fasthouse-spring-2025-decals-10-pack,Recommended item,Explicit,Tertiary,14.00,dirt,dirt
1-12-scale-kawasaki-kx-450f-dirt-bike-toy,fly-racing-formula-s-carbon-protocol-helmet,Recommended item,Explicit,Primary,1019.95,dirt,dirt
1-12-scale-kawasaki-kx-450f-dirt-bike-toy,fasthouse-spring-2026-decals-10-pack,Recommended item,Explicit,Secondary,15.95,dirt,dirt
1-12-scale-kawasaki-kx-450f-dirt-bike-toy,fasthouse-spring-2025-decals-10-pack,Recommended item,Explicit,Tertiary,14.00,dirt,dirt
1-12-scale-kawasaki-zx-10r-sport-bike-toy,agv-pista-gp-rr-soleluna-2023-limited-edition,Recommended item,Explicit,Primary,1929.95,unknown,street
1-12-scale-kawasaki-zx-10r-sport-bike-toy,fasthouse-spring-2026-decals-10-pack,Recommended item,Explicit,Secondary,15.95,unknown,dirt
